class_id	parent_class_id	pref_name	class_level	protein_class_desc
192	1191.0	Cytochrome P450 8A1	5	enzyme  cytochrome p450  cyp_8  cyp_8a  cyp_8a1
195	1183.0	Cytochrome P450 2C11	5	enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c11
196	1183.0	Cytochrome P450 2C18	5	enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c18
197	1183.0	Cytochrome P450 2C19	5	enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c19
198	1183.0	Cytochrome P450 2C23	5	enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c23
199	1184.0	Cytochrome P450 2D18	5	enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d18
200	1187.0	Cytochrome P450 4A11	5	enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a11
202	1256.0	Calcitonin receptor	5	membrane receptor  7tm2  peptide  calcitonin-like  calcitonin receptor
203	1289.0	AGC protein kinase AKT family	5	enzyme  kinase  protein kinase  agc  akt
204	1289.0	AGC protein kinase NDR family	5	enzyme  kinase  protein kinase  agc  ndr
205	1289.0	AGC protein kinase PKA family	5	enzyme  kinase  protein kinase  agc  pka
206	1289.0	AGC protein kinase PKC family	5	enzyme  kinase  protein kinase  agc  pkc
207	1289.0	AGC protein kinase PKG family	5	enzyme  kinase  protein kinase  agc  pkg
208	1289.0	AGC protein kinase PKN family	5	enzyme  kinase  protein kinase  agc  pkn
209	1289.0	AGC protein kinase SGK family	5	enzyme  kinase  protein kinase  agc  sgk
210	1301.0	CK1 protein kinase CK1 family	5	enzyme  kinase  protein kinase  ck1  ck1
211	148.0	CMGC protein kinase CK subfamily	5	enzyme  kinase  protein kinase  cmgc  ck
219	141.0	Tyrosine protein kinase Srm	6	enzyme  kinase  protein kinase  tk  src  srm
222	1103.0	Serine/threonine protein phosphatase	4	enzyme  phosphatase  protein phosphatase  ser_thr
223	1218.0	Cytochrome P450 11A1	5	enzyme  cytochrome p450  cyp_11  cyp_11a  cyp_11a1
224	1219.0	Cytochrome P450 11B1	5	enzyme  cytochrome p450  cyp_11  cyp_11b  cyp_11b1
225	1219.0	Cytochrome P450 11B2	5	enzyme  cytochrome p450  cyp_11  cyp_11b  cyp_11b2
